Name,Email,Phone,WhatsApp Number,Status,Source,Budget Min,Budget Max,Preferred Location,Property Type,Bedroom,Tier,Notes
Lead User 24,lead24@example.com,9000000023,9000000023,contacted,referral,4800000,7400000,Mumbai,1 BHK,3,medium,Auto-generated lead 24 interested in 1 BHK at Mumbai.
Lead User 25,lead25@example.com,9000000024,9000000024,contacted,website,6400000,9400000,Delhi,1 BHK,3,low,Auto-generated lead 25 interested in 1 BHK at Delhi.
Lead User 26,lead26@example.com,9000000025,9000000025,lost,google_ads,4800000,8100000,Delhi,4 BHK,3,low,Auto-generated lead 26 interested in 4 BHK at Delhi.
Lead User 27,lead27@example.com,9000000026,9000000026,qualified,facebook,3200000,7900000,Bangalore,Villa,3,low,Auto-generated lead 27 interested in Villa at Bangalore.
Lead User 28,lead28@example.com,9000000027,9000000027,contacted,facebook,5300000,9300000,Mumbai,Penthouse,3,medium,Auto-generated lead 28 interested in Penthouse at Mumbai.
Lead User 29,lead29@example.com,9000000028,9000000028,lost,website,4400000,7400000,Mumbai,2 BHK,3,low,Auto-generated lead 29 interested in 2 BHK at Mumbai.
Lead User 30,lead30@example.com,9000000029,9000000029,new,referral,7900000,12600000,Delhi,3 BHK,2,medium,Auto-generated lead 30 interested in 3 BHK at Delhi.
Lead User 31,lead31@example.com,9000000030,9000000030,contacted,google_ads,7500000,10400000,Pune,3 BHK,1,high,Auto-generated lead 31 interested in 3 BHK at Pune.
Lead User 32,lead32@example.com,9000000031,9000000031,lost,google_ads,5900000,10900000,Bangalore,1 BHK,4,medium,Auto-generated lead 32 interested in 1 BHK at Bangalore.
Lead User 33,lead33@example.com,9000000032,9000000032,new,facebook,5600000,10200000,Bangalore,1 BHK,3,low,Auto-generated lead 33 interested in 1 BHK at Bangalore.
Lead User 34,lead34@example.com,9000000033,9000000033,lost,facebook,5800000,9900000,Pune,Penthouse,3,high,Auto-generated lead 34 interested in Penthouse at Pune.
Lead User 35,lead35@example.com,9000000034,9000000034,lost,website,6900000,11400000,Hyderabad,4 BHK,4,high,Auto-generated lead 35 interested in 4 BHK at Hyderabad.
Lead User 36,lead36@example.com,9000000035,9000000035,lost,website,7400000,9400000,Pune,Penthouse,2,medium,Auto-generated lead 36 interested in Penthouse at Pune.
Lead User 37,lead37@example.com,9000000036,9000000036,lost,facebook,6100000,10300000,Delhi,3 BHK,2,low,Auto-generated lead 37 interested in 3 BHK at Delhi.
Lead User 38,lead38@example.com,9000000037,9000000037,new,google_ads,5600000,10000000,Delhi,2 BHK,4,medium,Auto-generated lead 38 interested in 2 BHK at Delhi.
Lead User 39,lead39@example.com,9000000038,9000000038,qualified,google_ads,4300000,6500000,Pune,4 BHK,3,high,Auto-generated lead 39 interested in 4 BHK at Pune.
Lead User 40,lead40@example.com,9000000039,9000000039,qualified,website,7600000,8800000,Delhi,Penthouse,2,medium,Auto-generated lead 40 interested in Penthouse at Delhi.
Lead User 41,lead41@example.com,9000000040,9000000040,lost,website,5700000,8300000,Hyderabad,1 BHK,5,medium,Auto-generated lead 41 interested in 1 BHK at Hyderabad.
Lead User 42,lead42@example.com,9000000041,9000000041,new,facebook,5300000,7300000,Mumbai,Penthouse,5,low,Auto-generated lead 42 interested in Penthouse at Mumbai.
Lead User 43,lead43@example.com,9000000042,9000000042,contacted,facebook,7000000,11200000,Mumbai,3 BHK,5,medium,Auto-generated lead 43 interested in 3 BHK at Mumbai.
Lead User 44,lead44@example.com,9000000043,9000000043,contacted,facebook,4300000,8200000,Bangalore,Villa,5,medium,Auto-generated lead 44 interested in Villa at Bangalore.
Lead User 45,lead45@example.com,9000000044,9000000044,lost,google_ads,7000000,10600000,Pune,2 BHK,2,medium,Auto-generated lead 45 interested in 2 BHK at Pune.
Lead User 46,lead46@example.com,9000000045,9000000045,lost,facebook,7500000,12100000,Pune,1 BHK,4,medium,Auto-generated lead 46 interested in 1 BHK at Pune.
Lead User 47,lead47@example.com,9000000046,9000000046,lost,google_ads,6300000,8500000,Bangalore,3 BHK,5,high,Auto-generated lead 47 interested in 3 BHK at Bangalore.
Lead User 48,lead48@example.com,9000000047,9000000047,qualified,website,5400000,6500000,Mumbai,Villa,5,low,Auto-generated lead 48 interested in Villa at Mumbai.
Lead User 49,lead49@example.com,9000000048,9000000048,new,google_ads,7700000,9200000,Pune,4 BHK,4,medium,Auto-generated lead 49 interested in 4 BHK at Pune.
Lead User 50,lead50@example.com,9000000049,9000000049,new,referral,5300000,7400000,Bangalore,Villa,3,high,Auto-generated lead 50 interested in Villa at Bangalore.
Lead User 51,lead51@example.com,9000000050,9000000050,new,website,6700000,10100000,Bangalore,2 BHK,2,medium,Auto-generated lead 51 interested in 2 BHK at Bangalore.
Lead User 52,lead52@example.com,9000000051,9000000051,new,facebook,4300000,7900000,Bangalore,4 BHK,1,low,Auto-generated lead 52 interested in 4 BHK at Bangalore.
Lead User 53,lead53@example.com,9000000052,9000000052,contacted,website,5600000,8600000,Mumbai,Penthouse,5,low,Auto-generated lead 53 interested in Penthouse at Mumbai.
Lead User 54,lead54@example.com,9000000053,9000000053,lost,facebook,4000000,7200000,Hyderabad,Penthouse,3,low,Auto-generated lead 54 interested in Penthouse at Hyderabad.
Lead User 55,lead55@example.com,9000000054,9000000054,qualified,website,4300000,9000000,Bangalore,1 BHK,2,low,Auto-generated lead 55 interested in 1 BHK at Bangalore.
Lead User 56,lead56@example.com,9000000055,9000000055,qualified,referral,6400000,8300000,Mumbai,3 BHK,3,low,Auto-generated lead 56 interested in 3 BHK at Mumbai.
Lead User 57,lead57@example.com,9000000056,9000000056,contacted,facebook,3600000,5400000,Bangalore,Villa,3,high,Auto-generated lead 57 interested in Villa at Bangalore.
Lead User 58,lead58@example.com,9000000057,9000000057,new,google_ads,6600000,11100000,Delhi,1 BHK,5,high,Auto-generated lead 58 interested in 1 BHK at Delhi.
Lead User 59,lead59@example.com,9000000058,9000000058,qualified,referral,6000000,7400000,Delhi,1 BHK,1,low,Auto-generated lead 59 interested in 1 BHK at Delhi.
Lead User 60,lead60@example.com,9000000059,9000000059,qualified,google_ads,7500000,9800000,Pune,1 BHK,3,high,Auto-generated lead 60 interested in 1 BHK at Pune.
Lead User 61,lead61@example.com,9000000060,9000000060,contacted,referral,3000000,6500000,Delhi,2 BHK,1,low,Auto-generated lead 61 interested in 2 BHK at Delhi.
Lead User 62,lead62@example.com,9000000061,9000000061,new,facebook,6000000,7400000,Pune,1 BHK,3,high,Auto-generated lead 62 interested in 1 BHK at Pune.
Lead User 63,lead63@example.com,9000000062,9000000062,contacted,facebook,8000000,9100000,Mumbai,Penthouse,3,high,Auto-generated lead 63 interested in Penthouse at Mumbai.
Lead User 64,lead64@example.com,9000000063,9000000063,new,facebook,3000000,7400000,Pune,3 BHK,2,high,Auto-generated lead 64 interested in 3 BHK at Pune.
Lead User 65,lead65@example.com,9000000064,9000000064,new,google_ads,4400000,6600000,Delhi,4 BHK,5,medium,Auto-generated lead 65 interested in 4 BHK at Delhi.
Lead User 66,lead66@example.com,9000000065,9000000065,new,referral,5800000,6900000,Pune,4 BHK,4,high,Auto-generated lead 66 interested in 4 BHK at Pune.
Lead User 67,lead67@example.com,9000000066,9000000066,qualified,facebook,7800000,9200000,Hyderabad,1 BHK,1,medium,Auto-generated lead 67 interested in 1 BHK at Hyderabad.
Lead User 68,lead68@example.com,9000000067,9000000067,new,google_ads,4100000,6200000,Hyderabad,3 BHK,1,low,Auto-generated lead 68 interested in 3 BHK at Hyderabad.
Lead User 69,lead69@example.com,9000000068,9000000068,lost,website,5700000,6700000,Pune,3 BHK,3,low,Auto-generated lead 69 interested in 3 BHK at Pune.
Lead User 70,lead70@example.com,9000000069,9000000069,new,website,6700000,8000000,Delhi,Penthouse,1,medium,Auto-generated lead 70 interested in Penthouse at Delhi.
Lead User 71,lead71@example.com,9000000070,9000000070,qualified,facebook,6300000,11000000,Bangalore,2 BHK,4,medium,Auto-generated lead 71 interested in 2 BHK at Bangalore.
Lead User 72,lead72@example.com,9000000071,9000000071,qualified,website,5800000,7400000,Bangalore,1 BHK,4,medium,Auto-generated lead 72 interested in 1 BHK at Bangalore.
Lead User 73,lead73@example.com,9000000072,9000000072,new,google_ads,6500000,7700000,Hyderabad,2 BHK,3,medium,Auto-generated lead 73 interested in 2 BHK at Hyderabad.
Lead User 74,lead74@example.com,9000000073,9000000073,lost,google_ads,5100000,7200000,Mumbai,1 BHK,3,medium,Auto-generated lead 74 interested in 1 BHK at Mumbai.
Lead User 75,lead75@example.com,9000000074,9000000074,new,facebook,5900000,8500000,Pune,3 BHK,3,high,Auto-generated lead 75 interested in 3 BHK at Pune.
Lead User 76,lead76@example.com,9000000075,9000000075,qualified,facebook,7800000,10300000,Hyderabad,1 BHK,4,medium,Auto-generated lead 76 interested in 1 BHK at Hyderabad.
Lead User 77,lead77@example.com,9000000076,9000000076,contacted,facebook,4700000,6300000,Bangalore,4 BHK,2,medium,Auto-generated lead 77 interested in 4 BHK at Bangalore.
Lead User 78,lead78@example.com,9000000077,9000000077,qualified,google_ads,4300000,5800000,Hyderabad,4 BHK,3,high,Auto-generated lead 78 interested in 4 BHK at Hyderabad.
Lead User 79,lead79@example.com,9000000078,9000000078,lost,google_ads,5000000,6600000,Delhi,Villa,2,medium,Auto-generated lead 79 interested in Villa at Delhi.
Lead User 80,lead80@example.com,9000000079,9000000079,new,facebook,7300000,10600000,Pune,Penthouse,2,high,Auto-generated lead 80 interested in Penthouse at Pune.
Lead User 81,lead81@example.com,9000000080,9000000080,qualified,website,4300000,6900000,Bangalore,3 BHK,3,high,Auto-generated lead 81 interested in 3 BHK at Bangalore.
Lead User 82,lead82@example.com,9000000081,9000000081,contacted,referral,6400000,8700000,Delhi,Villa,4,high,Auto-generated lead 82 interested in Villa at Delhi.
Lead User 83,lead83@example.com,9000000082,9000000082,lost,website,5200000,6500000,Delhi,2 BHK,4,medium,Auto-generated lead 83 interested in 2 BHK at Delhi.
Lead User 84,lead84@example.com,9000000083,9000000083,contacted,google_ads,3800000,5400000,Hyderabad,3 BHK,2,medium,Auto-generated lead 84 interested in 3 BHK at Hyderabad.
Lead User 85,lead85@example.com,9000000084,9000000084,new,website,6000000,9400000,Hyderabad,3 BHK,4,low,Auto-generated lead 85 interested in 3 BHK at Hyderabad.
Lead User 86,lead86@example.com,9000000085,9000000085,qualified,facebook,3600000,6800000,Bangalore,2 BHK,1,low,Auto-generated lead 86 interested in 2 BHK at Bangalore.
Lead User 87,lead87@example.com,9000000086,9000000086,new,facebook,5800000,8800000,Mumbai,Penthouse,1,medium,Auto-generated lead 87 interested in Penthouse at Mumbai.
Lead User 88,lead88@example.com,9000000087,9000000087,contacted,referral,3000000,7200000,Delhi,4 BHK,5,medium,Auto-generated lead 88 interested in 4 BHK at Delhi.
Lead User 89,lead89@example.com,9000000088,9000000088,contacted,google_ads,7400000,11000000,Delhi,Villa,3,high,Auto-generated lead 89 interested in Villa at Delhi.
Lead User 90,lead90@example.com,9000000089,9000000089,new,website,4900000,8900000,Delhi,3 BHK,4,high,Auto-generated lead 90 interested in 3 BHK at Delhi.
Lead User 91,lead91@example.com,9000000090,9000000090,qualified,facebook,5300000,10200000,Mumbai,Villa,5,low,Auto-generated lead 91 interested in Villa at Mumbai.
Lead User 92,lead92@example.com,9000000091,9000000091,lost,website,6800000,9700000,Bangalore,1 BHK,1,low,Auto-generated lead 92 interested in 1 BHK at Bangalore.
Lead User 93,lead93@example.com,9000000092,9000000092,lost,referral,4200000,7200000,Mumbai,3 BHK,3,medium,Auto-generated lead 93 interested in 3 BHK at Mumbai.
Lead User 94,lead94@example.com,9000000093,9000000093,lost,referral,5600000,10500000,Bangalore,Penthouse,1,high,Auto-generated lead 94 interested in Penthouse at Bangalore.
Lead User 95,lead95@example.com,9000000094,9000000094,new,referral,4500000,8500000,Bangalore,3 BHK,5,high,Auto-generated lead 95 interested in 3 BHK at Bangalore.
Lead User 96,lead96@example.com,9000000095,9000000095,qualified,facebook,8000000,12900000,Delhi,2 BHK,5,medium,Auto-generated lead 96 interested in 2 BHK at Delhi.
Lead User 97,lead97@example.com,9000000096,9000000096,contacted,website,7900000,9800000,Delhi,4 BHK,5,medium,Auto-generated lead 97 interested in 4 BHK at Delhi.
Lead User 98,lead98@example.com,9000000097,9000000097,lost,website,3100000,7800000,Delhi,Penthouse,2,low,Auto-generated lead 98 interested in Penthouse at Delhi.
Lead User 99,lead99@example.com,9000000098,9000000098,qualified,referral,6500000,10100000,Mumbai,Penthouse,5,high,Auto-generated lead 99 interested in Penthouse at Mumbai.
Lead User 100,lead100@example.com,9000000099,9000000099,new,facebook,7700000,11400000,Bangalore,Villa,1,high,Auto-generated lead 100 interested in Villa at Bangalore.
Lead User 101,lead101@example.com,9000000100,9000000100,contacted,google_ads,6100000,9100000,Mumbai,Villa,2,low,Auto-generated lead 101 interested in Villa at Mumbai.
Lead User 102,lead102@example.com,9000000101,9000000101,contacted,referral,6300000,7300000,Delhi,Villa,4,low,Auto-generated lead 102 interested in Villa at Delhi.
Lead User 103,lead103@example.com,9000000102,9000000102,qualified,website,7400000,10400000,Pune,Penthouse,3,medium,Auto-generated lead 103 interested in Penthouse at Pune.
Lead User 104,lead104@example.com,9000000103,9000000103,new,website,4700000,7700000,Mumbai,4 BHK,2,medium,Auto-generated lead 104 interested in 4 BHK at Mumbai.
Lead User 105,lead105@example.com,9000000104,9000000104,lost,google_ads,3100000,5600000,Mumbai,Villa,5,low,Auto-generated lead 105 interested in Villa at Mumbai.
Lead User 106,lead106@example.com,9000000105,9000000105,new,google_ads,6900000,8300000,Hyderabad,Villa,3,low,Auto-generated lead 106 interested in Villa at Hyderabad.
Lead User 107,lead107@example.com,9000000106,9000000106,new,facebook,3000000,6700000,Delhi,1 BHK,3,low,Auto-generated lead 107 interested in 1 BHK at Delhi.
Lead User 108,lead108@example.com,9000000107,9000000107,new,facebook,7200000,10500000,Mumbai,1 BHK,1,low,Auto-generated lead 108 interested in 1 BHK at Mumbai.
Lead User 109,lead109@example.com,9000000108,9000000108,contacted,google_ads,5400000,7500000,Bangalore,1 BHK,5,high,Auto-generated lead 109 interested in 1 BHK at Bangalore.
Lead User 110,lead110@example.com,9000000109,9000000109,contacted,referral,3500000,8000000,Hyderabad,Penthouse,4,low,Auto-generated lead 110 interested in Penthouse at Hyderabad.
Lead User 111,lead111@example.com,9000000110,9000000110,qualified,website,3500000,4800000,Mumbai,3 BHK,1,low,Auto-generated lead 111 interested in 3 BHK at Mumbai.
Lead User 112,lead112@example.com,9000000111,9000000111,new,referral,3600000,8600000,Hyderabad,1 BHK,1,high,Auto-generated lead 112 interested in 1 BHK at Hyderabad.
Lead User 113,lead113@example.com,9000000112,9000000112,qualified,facebook,4600000,6500000,Bangalore,2 BHK,2,medium,Auto-generated lead 113 interested in 2 BHK at Bangalore.
Lead User 114,lead114@example.com,9000000113,9000000113,new,facebook,8000000,11900000,Delhi,3 BHK,2,low,Auto-generated lead 114 interested in 3 BHK at Delhi.
Lead User 115,lead115@example.com,9000000114,9000000114,lost,google_ads,7100000,9900000,Delhi,3 BHK,2,high,Auto-generated lead 115 interested in 3 BHK at Delhi.
Lead User 116,lead116@example.com,9000000115,9000000115,lost,website,7100000,12000000,Hyderabad,Villa,2,low,Auto-generated lead 116 interested in Villa at Hyderabad.
Lead User 117,lead117@example.com,9000000116,9000000116,contacted,referral,4700000,9200000,Pune,4 BHK,5,high,Auto-generated lead 117 interested in 4 BHK at Pune.
Lead User 118,lead118@example.com,9000000117,9000000117,new,website,6200000,8600000,Delhi,2 BHK,4,medium,Auto-generated lead 118 interested in 2 BHK at Delhi.
Lead User 119,lead119@example.com,9000000118,9000000118,qualified,website,6200000,10000000,Mumbai,Penthouse,4,low,Auto-generated lead 119 interested in Penthouse at Mumbai.
Lead User 120,lead120@example.com,9000000119,9000000119,new,facebook,3700000,6300000,Bangalore,Villa,3,low,Auto-generated lead 120 interested in Villa at Bangalore.
Lead User 121,lead121@example.com,9000000120,9000000120,contacted,website,6300000,9700000,Bangalore,2 BHK,3,high,Auto-generated lead 121 interested in 2 BHK at Bangalore.
Lead User 122,lead122@example.com,9000000121,9000000121,contacted,google_ads,4900000,7400000,Hyderabad,Penthouse,4,low,Auto-generated lead 122 interested in Penthouse at Hyderabad.
Lead User 123,lead123@example.com,9000000122,9000000122,qualified,referral,5100000,9800000,Pune,3 BHK,3,high,Auto-generated lead 123 interested in 3 BHK at Pune.
Lead User 124,lead124@example.com,9000000123,9000000123,lost,facebook,5800000,9500000,Pune,Villa,3,medium,Auto-generated lead 124 interested in Villa at Pune.
Lead User 125,lead125@example.com,9000000124,9000000124,contacted,referral,5000000,7600000,Mumbai,Villa,3,medium,Auto-generated lead 125 interested in Villa at Mumbai.
Lead User 126,lead126@example.com,9000000125,9000000125,contacted,google_ads,5300000,8300000,Bangalore,Villa,1,medium,Auto-generated lead 126 interested in Villa at Bangalore.
Lead User 127,lead127@example.com,9000000126,9000000126,new,google_ads,7000000,9900000,Delhi,Penthouse,4,high,Auto-generated lead 127 interested in Penthouse at Delhi.
Lead User 128,lead128@example.com,9000000127,9000000127,new,facebook,4000000,8300000,Mumbai,3 BHK,5,low,Auto-generated lead 128 interested in 3 BHK at Mumbai.
Lead User 129,lead129@example.com,9000000128,9000000128,qualified,facebook,6100000,9600000,Hyderabad,4 BHK,5,high,Auto-generated lead 129 interested in 4 BHK at Hyderabad.
Lead User 130,lead130@example.com,9000000129,9000000129,lost,facebook,3800000,8800000,Mumbai,3 BHK,4,medium,Auto-generated lead 130 interested in 3 BHK at Mumbai.
Lead User 131,lead131@example.com,9000000130,9000000130,contacted,google_ads,6700000,10800000,Hyderabad,Villa,1,high,Auto-generated lead 131 interested in Villa at Hyderabad.
Lead User 132,lead132@example.com,9000000131,9000000131,lost,referral,5900000,7800000,Pune,3 BHK,4,high,Auto-generated lead 132 interested in 3 BHK at Pune.
Lead User 133,lead133@example.com,9000000132,9000000132,contacted,google_ads,6300000,9400000,Hyderabad,Penthouse,1,high,Auto-generated lead 133 interested in Penthouse at Hyderabad.
Lead User 134,lead134@example.com,9000000133,9000000133,lost,referral,4800000,7000000,Delhi,3 BHK,3,high,Auto-generated lead 134 interested in 3 BHK at Delhi.
Lead User 135,lead135@example.com,9000000134,9000000134,contacted,referral,6800000,9600000,Hyderabad,2 BHK,2,medium,Auto-generated lead 135 interested in 2 BHK at Hyderabad.
Lead User 136,lead136@example.com,9000000135,9000000135,lost,website,6600000,10900000,Delhi,Villa,1,low,Auto-generated lead 136 interested in Villa at Delhi.
Lead User 137,lead137@example.com,9000000136,9000000136,new,referral,4100000,7200000,Delhi,Villa,4,low,Auto-generated lead 137 interested in Villa at Delhi.
Lead User 138,lead138@example.com,9000000137,9000000137,qualified,facebook,7300000,9700000,Bangalore,4 BHK,4,medium,Auto-generated lead 138 interested in 4 BHK at Bangalore.
Lead User 139,lead139@example.com,9000000138,9000000138,lost,google_ads,5900000,9200000,Delhi,Penthouse,4,medium,Auto-generated lead 139 interested in Penthouse at Delhi.
Lead User 140,lead140@example.com,9000000139,9000000139,qualified,website,3900000,5500000,Hyderabad,Villa,3,high,Auto-generated lead 140 interested in Villa at Hyderabad.
Lead User 141,lead141@example.com,9000000140,9000000140,lost,website,3700000,5200000,Pune,Penthouse,5,medium,Auto-generated lead 141 interested in Penthouse at Pune.
Lead User 142,lead142@example.com,9000000141,9000000141,contacted,google_ads,3900000,8300000,Mumbai,4 BHK,4,medium,Auto-generated lead 142 interested in 4 BHK at Mumbai.
Lead User 143,lead143@example.com,9000000142,9000000142,lost,facebook,4900000,7700000,Hyderabad,3 BHK,4,medium,Auto-generated lead 143 interested in 3 BHK at Hyderabad.
Lead User 144,lead144@example.com,9000000143,9000000143,contacted,referral,4300000,5900000,Delhi,3 BHK,5,medium,Auto-generated lead 144 interested in 3 BHK at Delhi.
Lead User 145,lead145@example.com,9000000144,9000000144,lost,facebook,3300000,6500000,Hyderabad,4 BHK,1,low,Auto-generated lead 145 interested in 4 BHK at Hyderabad.
Lead User 146,lead146@example.com,9000000145,9000000145,contacted,facebook,4100000,6400000,Mumbai,4 BHK,5,medium,Auto-generated lead 146 interested in 4 BHK at Mumbai.
Lead User 147,lead147@example.com,9000000146,9000000146,contacted,google_ads,7600000,9500000,Hyderabad,Penthouse,4,high,Auto-generated lead 147 interested in Penthouse at Hyderabad.
Lead User 148,lead148@example.com,9000000147,9000000147,contacted,website,3400000,8100000,Delhi,Villa,4,medium,Auto-generated lead 148 interested in Villa at Delhi.
Lead User 149,lead149@example.com,9000000148,9000000148,lost,google_ads,3000000,7100000,Bangalore,3 BHK,2,high,Auto-generated lead 149 interested in 3 BHK at Bangalore.
Lead User 150,lead150@example.com,9000000149,9000000149,new,facebook,7100000,11800000,Delhi,4 BHK,4,high,Auto-generated lead 150 interested in 4 BHK at Delhi.
Lead User 151,lead151@example.com,9000000150,9000000150,qualified,website,4800000,8200000,Hyderabad,3 BHK,2,high,Auto-generated lead 151 interested in 3 BHK at Hyderabad.
Lead User 152,lead152@example.com,9000000151,9000000151,contacted,facebook,3000000,6000000,Bangalore,1 BHK,5,low,Auto-generated lead 152 interested in 1 BHK at Bangalore.
Lead User 153,lead153@example.com,9000000152,9000000152,qualified,facebook,4700000,7700000,Bangalore,4 BHK,4,low,Auto-generated lead 153 interested in 4 BHK at Bangalore.
Lead User 154,lead154@example.com,9000000153,9000000153,contacted,website,6800000,9700000,Bangalore,Penthouse,2,medium,Auto-generated lead 154 interested in Penthouse at Bangalore.
Lead User 155,lead155@example.com,9000000154,9000000154,qualified,website,3200000,6400000,Bangalore,2 BHK,4,low,Auto-generated lead 155 interested in 2 BHK at Bangalore.
Lead User 156,lead156@example.com,9000000155,9000000155,new,google_ads,6500000,8600000,Bangalore,1 BHK,2,medium,Auto-generated lead 156 interested in 1 BHK at Bangalore.
Lead User 157,lead157@example.com,9000000156,9000000156,qualified,website,6400000,11000000,Bangalore,3 BHK,3,low,Auto-generated lead 157 interested in 3 BHK at Bangalore.
Lead User 158,lead158@example.com,9000000157,9000000157,qualified,referral,6300000,8200000,Mumbai,Penthouse,4,low,Auto-generated lead 158 interested in Penthouse at Mumbai.
Lead User 159,lead159@example.com,9000000158,9000000158,new,referral,4400000,8500000,Delhi,1 BHK,1,low,Auto-generated lead 159 interested in 1 BHK at Delhi.
Lead User 160,lead160@example.com,9000000159,9000000159,new,referral,6200000,8100000,Pune,Villa,4,high,Auto-generated lead 160 interested in Villa at Pune.
Lead User 161,lead161@example.com,9000000160,9000000160,qualified,facebook,3800000,6900000,Hyderabad,3 BHK,1,high,Auto-generated lead 161 interested in 3 BHK at Hyderabad.
Lead User 162,lead162@example.com,9000000161,9000000161,qualified,website,6200000,8100000,Hyderabad,3 BHK,4,medium,Auto-generated lead 162 interested in 3 BHK at Hyderabad.
Lead User 163,lead163@example.com,9000000162,9000000162,lost,facebook,6700000,10700000,Hyderabad,Villa,5,high,Auto-generated lead 163 interested in Villa at Hyderabad.
Lead User 164,lead164@example.com,9000000163,9000000163,new,referral,5400000,8300000,Pune,4 BHK,5,low,Auto-generated lead 164 interested in 4 BHK at Pune.
Lead User 165,lead165@example.com,9000000164,9000000164,contacted,google_ads,7300000,10400000,Bangalore,1 BHK,1,medium,Auto-generated lead 165 interested in 1 BHK at Bangalore.
Lead User 166,lead166@example.com,9000000165,9000000165,new,facebook,5600000,9600000,Hyderabad,3 BHK,2,high,Auto-generated lead 166 interested in 3 BHK at Hyderabad.
Lead User 167,lead167@example.com,9000000166,9000000166,new,website,6300000,7300000,Bangalore,Penthouse,1,low,Auto-generated lead 167 interested in Penthouse at Bangalore.
Lead User 168,lead168@example.com,9000000167,9000000167,lost,referral,3900000,8000000,Delhi,2 BHK,2,low,Auto-generated lead 168 interested in 2 BHK at Delhi.
